Xt-4,Xt-3,Xt-2,Xt-1,Xt-0,Data Prediksi
144569400,120995200,84568100,69966200,104019300,88432500
120995200,84568100,69966200,104019300,88432500,59319100
84568100,69966200,104019300,88432500,59319100,107327900
69966200,104019300,88432500,59319100,107327900,139144500
104019300,88432500,59319100,107327900,139144500,46409300
88432500,59319100,107327900,139144500,46409300,89918800
59319100,107327900,139144500,46409300,89918800,273125500
107327900,139144500,46409300,89918800,273125500,115578600
139144500,46409300,89918800,273125500,115578600,59377900
46409300,89918800,273125500,115578600,59377900,84777000
89918800,273125500,115578600,59377900,84777000,78292000
273125500,115578600,59377900,84777000,78292000,111953700
115578600,59377900,84777000,78292000,111953700,125766100
59377900,84777000,78292000,111953700,125766100,79549800
84777000,78292000,111953700,125766100,79549800,125140500
78292000,111953700,125766100,79549800,125140500,106769300
111953700,125766100,79549800,125140500,106769300,192444400
125766100,79549800,125140500,106769300,192444400,107761200
79549800,125140500,106769300,192444400,107761200,155984500
125140500,106769300,192444400,107761200,155984500,267753300
106769300,192444400,107761200,155984500,267753300,113829400
192444400,107761200,155984500,267753300,113829400,214639300
107761200,155984500,267753300,113829400,214639300,266103900
155984500,267753300,113829400,214639300,266103900,144925200
267753300,113829400,214639300,266103900,144925200,105217100
113829400,214639300,266103900,144925200,105217100,141800500
214639300,266103900,144925200,105217100,141800500,98847200
266103900,144925200,105217100,141800500,98847200,161561800
144925200,105217100,141800500,98847200,161561800,133511700
105217100,141800500,98847200,161561800,133511700,88097800
141800500,98847200,161561800,133511700,88097800,119316500
98847200,161561800,133511700,88097800,119316500,88012300
161561800,133511700,88097800,119316500,88012300,58886800
133511700,88097800,119316500,88012300,58886800,67275600
88097800,119316500,88012300,58886800,67275600,194839900
119316500,88012300,58886800,67275600,194839900,141279800
88012300,58886800,67275600,194839900,141279800,190097200
58886800,67275600,194839900,141279800,190097200,121231300
67275600,194839900,141279800,190097200,121231300,95747700
194839900,141279800,190097200,121231300,95747700,273336000
141279800,190097200,121231300,95747700,273336000,125947200
190097200,121231300,95747700,273336000,125947200,251912000
121231300,95747700,273336000,125947200,251912000,84246100
95747700,273336000,125947200,251912000,84246100,183524700
273336000,125947200,251912000,84246100,183524700,140482000
125947200,251912000,84246100,183524700,140482000,182599600
251912000,84246100,183524700,140482000,182599600,107804200
84246100,183524700,140482000,182599600,107804200,102987300
183524700,140482000,182599600,107804200,102987300,108369600
140482000,182599600,107804200,102987300,108369600,85618800
182599600,107804200,102987300,108369600,85618800,92625800
107804200,102987300,108369600,85618800,92625800,163732600
102987300,108369600,85618800,92625800,163732600,73611200
108369600,85618800,92625800,163732600,73611200,115834500
85618800,92625800,163732600,73611200,115834500,185672200
